RC_STATION,COUNT_ID,RG,REGION_CODE,COUNTY_CODE,STAT,RCSTA,FUNCTIONAL_CLASS,FACTOR_GROUP,LATITUDE,LONGITUDE,SPECIFIC_RECORDER_PLACEMENT,CHANNEL_NOTES,DATA_TYPE,VEHICLE_AXLE_CODE,YEAR,MONTH,DAY,DAY_OF_WEEK,FEDERAL_DIRECTION,LANE_CODE,LANES_IN_DIRECTION,COLLECTION_INTERVAL,INTERVAL_1_1,INTERVAL_1_2,INTERVAL_1_3,INTERVAL_1_4,INTERVAL_2_1,INTERVAL_2_2,INTERVAL_2_3,INTERVAL_2_4,INTERVAL_3_1,INTERVAL_3_2,INTERVAL_3_3,INTERVAL_3_4,INTERVAL_4_1,INTERVAL_4_2,INTERVAL_4_3,INTERVAL_4_4,INTERVAL_5_1,INTERVAL_5_2,INTERVAL_5_3,INTERVAL_5_4,INTERVAL_6_1,INTERVAL_6_2,INTERVAL_6_3,INTERVAL_6_4,INTERVAL_7_1,INTERVAL_7_2,INTERVAL_7_3,INTERVAL_7_4,INTERVAL_8_1,INTERVAL_8_2,INTERVAL_8_3,INTERVAL_8_4,INTERVAL_9_1,INTERVAL_9_2,INTERVAL_9_3,INTERVAL_9_4,INTERVAL_10_1,INTERVAL_10_2,INTERVAL_10_3,INTERVAL_10_4,INTERVAL_11_1,INTERVAL_11_2,INTERVAL_11_3,INTERVAL_11_4,INTERVAL_12_1,INTERVAL_12_2,INTERVAL_12_3,INTERVAL_12_4,INTERVAL_13_1,INTERVAL_13_2,INTERVAL_13_3,INTERVAL_13_4,INTERVAL_14_1,INTERVAL_14_2,INTERVAL_14_3,INTERVAL_14_4,INTERVAL_15_1,INTERVAL_15_2,INTERVAL_15_3,INTERVAL_15_4,INTERVAL_16_1,INTERVAL_16_2,INTERVAL_16_3,INTERVAL_16_4,INTERVAL_17_1,INTERVAL_17_2,INTERVAL_17_3,INTERVAL_17_4,INTERVAL_18_1,INTERVAL_18_2,INTERVAL_18_3,INTERVAL_18_4,INTERVAL_19_1,INTERVAL_19_2,INTERVAL_19_3,INTERVAL_19_4,INTERVAL_20_1,INTERVAL_20_2,INTERVAL_20_3,INTERVAL_20_4,INTERVAL_21_1,INTERVAL_21_2,INTERVAL_21_3,INTERVAL_21_4,INTERVAL_22_1,INTERVAL_22_2,INTERVAL_22_3,INTERVAL_22_4,INTERVAL_23_1,INTERVAL_23_2,INTERVAL_23_3,INTERVAL_23_4,INTERVAL_24_1,INTERVAL_24_2,INTERVAL_24_3,INTERVAL_24_4,TOTAL,FLAG_FIELD,BATCH_ID
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,1,Monday,3,0,1,15,10,4,5,11,9,12,11,10,9,9,8,6,13,13,8,13,16,17,16,17,15,10,10,13,14,14,12,14,9,8,14,12,11,19,17,16,7,12,6,8,16,17,16,17,16,15,16,19,16,16,18,16,14,19,16,19,20,15,17,22,2,2,3,4,26,22,23,23,17,22,25,22,20,22,21,20,24,22,26,24,13,15,16,14,19,14,13,15,15,17,12,15,13,13,14,9,1395,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,1,Monday,7,0,1,15,7,11,10,5,10,11,13,11,10,11,10,11,7,8,8,12,16,14,12,8,10,15,9,11,17,20,16,16,20,20,19,18,23,20,26,26,27,27,26,26,18,20,25,20,28,21,21,23,20,18,20,21,17,19,16,17,20,19,20,21,49,47,48,46,15,18,18,19,14,14,12,11,18,17,20,19,15,13,16,11,72,73,74,71,7,9,8,8,11,10,11,9,13,13,15,10,1855,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,2,Tuesday,3,0,1,15,8,12,9,8,10,9,8,9,7,11,8,7,13,13,12,11,42,42,40,42,9,9,5,13,45,43,42,47,11,11,13,11,19,18,16,19,12,13,11,13,16,15,11,15,19,21,23,19,14,18,19,18,16,16,16,16,21,28,25,22,21,17,20,20,23,24,22,24,21,22,20,21,24,23,22,19,23,23,25,22,20,16,17,14,16,14,16,19,17,17,16,12,13,14,12,11,1749,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,2,Tuesday,7,0,1,15,6,8,7,6,9,6,3,9,13,13,13,11,12,11,10,11,10,13,13,16,18,13,15,17,18,22,23,20,16,21,14,17,17,18,20,21,26,25,27,23,24,21,23,22,23,22,21,25,24,28,24,22,15,19,19,18,21,20,22,23,14,16,14,11,10,15,16,12,15,12,13,13,15,16,12,15,31,35,30,28,12,8,11,11,14,13,14,16,79,76,74,76,12,9,10,12,1817,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,3,Wednesday,3,0,1,15,9,8,6,8,4,6,5,8,9,8,8,7,9,11,10,13,6,7,4,9,10,12,11,10,14,13,13,14,14,14,13,12,9,11,12,12,14,14,11,14,17,14,16,15,13,15,13,16,15,11,13,11,14,19,15,19,24,20,17,24,21,23,19,21,21,21,16,23,21,22,23,28,23,22,26,21,20,21,20,19,19,15,15,20,13,14,14,14,32,29,29,31,12,10,12,15,1448,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,3,Wednesday,7,0,1,15,11,11,12,10,11,13,9,10,11,8,9,8,13,12,9,12,13,13,15,18,14,14,14,16,17,14,12,16,21,22,20,21,20,20,18,20,29,27,24,26,21,25,23,21,23,22,21,21,21,20,21,26,25,23,18,20,16,19,15,12,9,3,3,4,20,20,19,16,11,8,13,12,10,10,8,6,14,15,13,13,10,8,5,12,13,15,13,17,11,9,10,10,14,13,10,16,1439,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,4,Thursday,3,0,1,15,12,11,11,10,5,6,8,8,9,10,15,13,10,11,8,17,10,8,5,7,14,14,18,12,7,8,6,6,12,13,10,10,8,10,7,13,10,13,14,14,11,11,12,12,12,11,14,13,18,12,14,15,20,18,17,17,19,15,21,19,17,16,19,20,19,19,19,16,9,4,6,6,26,25,22,27,19,18,23,18,17,13,16,18,13,12,14,13,14,17,19,17,11,9,13,14,1292,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,4,Thursday,7,0,1,15,7,8,10,9,8,9,5,7,9,5,9,10,9,7,9,11,8,11,13,12,17,17,17,18,20,21,20,15,20,19,21,20,22,17,24,22,26,31,24,26,23,25,23,23,25,25,25,27,23,20,22,23,19,23,19,21,23,20,22,20,21,16,14,15,9,12,11,13,19,16,16,17,16,15,12,12,19,17,18,19,18,18,15,12,17,13,10,9,10,14,11,9,14,15,13,10,1559,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,5,Friday,3,0,1,15,8,10,8,9,9,6,10,10,11,9,11,9,12,10,6,10,7,12,9,8,7,10,9,10,14,14,13,14,9,11,9,11,14,14,11,12,14,15,15,13,14,12,13,9,17,16,13,19,17,16,12,14,15,18,13,16,16,19,15,20,19,20,19,18,19,21,20,19,17,17,20,16,19,21,22,22,27,25,23,25,17,12,17,20,17,17,14,16,14,14,15,17,3,1,0,1,1331,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,5,Friday,7,0,1,15,5,0,3,4,13,8,7,7,10,12,6,15,12,11,12,14,15,17,14,18,13,13,15,11,15,17,17,17,15,18,16,15,16,19,21,18,25,23,26,28,25,23,25,27,10,9,8,9,18,17,19,16,19,15,19,17,17,17,15,11,19,16,21,13,12,14,16,12,12,13,12,13,16,15,13,17,16,18,19,14,16,10,12,12,15,14,13,11,18,17,13,13,7,3,6,7,1385,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,6,Saturday,3,0,1,15,16,12,12,7,10,9,7,10,6,10,4,11,5,7,4,7,10,8,10,9,14,14,13,12,13,14,13,9,6,9,4,7,16,14,18,15,12,13,11,13,14,12,12,14,20,17,16,15,19,19,19,17,15,15,21,13,17,15,16,18,18,20,18,18,23,21,21,24,21,25,23,21,27,31,31,27,25,22,22,26,7,8,6,8,15,16,17,16,14,14,12,10,5,10,7,8,1375,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,6,Saturday,7,0,1,15,7,11,10,11,5,6,5,3,7,6,4,6,2,2,4,2,14,14,14,13,19,19,16,17,17,14,16,15,18,18,20,16,23,25,21,21,27,23,27,24,20,20,23,25,23,19,22,25,18,16,16,17,26,23,25,23,16,18,17,19,14,16,14,17,21,16,18,17,17,21,20,14,14,19,18,14,15,10,17,12,16,14,16,7,13,14,13,13,12,14,15,17,14,15,14,10,1494,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,7,Sunday,3,0,1,15,2,3,5,7,14,14,11,9,8,11,7,13,11,10,11,8,9,9,12,12,11,12,10,8,16,15,14,12,11,14,12,9,12,11,14,14,13,17,16,20,13,15,16,17,17,18,18,16,12,14,14,17,22,20,20,21,19,14,17,18,18,19,17,20,18,16,18,19,23,23,23,21,25,25,26,26,28,21,21,21,18,17,16,14,15,18,16,17,16,20,13,15,10,10,10,12,1450,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,7,Sunday,7,0,1,15,7,5,4,7,10,8,8,7,12,12,14,14,15,11,10,14,10,8,13,8,15,14,13,14,18,24,19,20,19,15,14,14,15,19,20,21,20,25,27,24,28,28,24,25,19,22,25,19,22,22,23,23,18,20,23,20,19,20,19,16,112,109,111,109,20,20,16,14,15,18,17,15,13,16,16,13,10,12,12,10,14,13,16,15,14,13,11,16,11,14,15,16,4,0,0,0,1852,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,8,Monday,3,0,1,15,10,11,12,11,6,5,9,8,9,7,10,10,11,10,9,8,9,12,7,12,4,0,1,3,8,10,8,9,10,10,11,10,13,15,12,16,14,11,10,12,12,14,15,13,14,13,14,16,19,19,14,20,16,14,16,19,27,21,22,20,24,20,23,19,19,16,17,19,21,21,18,20,25,21,24,25,17,18,16,13,18,17,14,15,17,20,16,17,14,14,10,8,12,16,15,17,1347,,23092
47_FAKE,20101101_47FAKE,4,4,7,FAKE,47FAKE,4,60,,,fake placement,fake notes,Volume Data,1,2010,11,8,Monday,7,0,1,15,8,10,9,11,10,14,7,12,14,7,10,12,13,11,8,12,7,4,6,7,12,17,12,14,18,15,20,19,21,19,17,18,25,26,25,26,23,26,23,26,25,24,23,18,21,18,21,22,21,16,18,18,23,16,22,15,21,22,20,21,16,17,17,19,21,16,19,19,16,12,20,17,12,13,12,12,12,14,11,17,18,15,17,14,15,13,16,15,8,15,11,11,17,12,11,18,1537,,23092